EVENT_VALIDITY
Very Doubtful Tsunami
Questionable Tsunami
Very Doubtful Tsunami
Definite Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Probable Tsunami
Very Doubtful Tsunami
Definite Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Definite Tsunami
Questionable Tsunami
Definite Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Probable Tsunami
Very Doubtful Tsunami
Questionable Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Questionable Tsunami
Questionable Tsunami
Questionable Tsunami
Definite Tsunami
Very Doubtful Tsunami
Questionable Tsunami
Probable Tsunami
Definite Tsunami
Questionable Tsunami
Questionable Tsunami
Questionable Tsunami
Very Doubtful Tsunami
Questionable Tsunami
Questionable Tsunami
Definite Tsunami
Questionable Tsunami
Very Doubtful Tsunami
Definite Tsunami
Questionable Tsunami
Very Doubtful Tsunami
Probable Tsunami
Probable Tsunami
Probable Tsunami
Definite Tsunami
Probable Tsunami
Probable Tsunami
Definite Tsunami
Definite Tsunami
Definite Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Questionable Tsunami
Probable Tsunami
Probable Tsunami
Very Doubtful Tsunami
Definite Tsunami
Questionable Tsunami
Questionable Tsunami
Definite Tsunami
Very Doubtful Tsunami
Definite Tsunami
Definite Tsunami
Probable Tsunami
Probable Tsunami
Definite Tsunami
Questionable Tsunami
Definite Tsunami
Definite Tsunami
Probable Tsunami
Definite Tsunami
Definite Tsunami
Definite Tsunami
Definite Tsunami
Definite Tsunami
Definite Tsunami
Definite Tsunami
Probable Tsunami
Definite Tsunami
Definite Tsunami
Probable Tsunami
Questionable Tsunami
Probable Tsunami
Definite Tsunami
Definite Tsunami
Questionable Tsunami
Probable Tsunami
Very Doubtful Tsunami
Definite Tsunami
Definite Tsunami
Definite Tsunami
Questionable Tsunami
Definite Tsunami
Definite Tsunami
Very Doubtful Tsunami
Questionable Tsunami
Probable Tsunami
Questionable Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Probable Tsunami
Questionable Tsunami
Probable Tsunami
Probable Tsunami
Probable Tsunami
Definite Tsunami
Probable Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Definite Tsunami
Very Doubtful Tsunami
Definite Tsunami
Questionable Tsunami
Very Doubtful Tsunami
Probable Tsunami
Questionable Tsunami
Very Doubtful Tsunami
Probable Tsunami
Probable Tsunami
Questionable Tsunami
Very Doubtful Tsunami
Definite Tsunami
Definite Tsunami
Questionable Tsunami
Questionable Tsunami
Very Doubtful Tsunami
Very Doubtful Tsunami
Questionable Tsunami
Definite Tsunami
Event that only caused a seiche or disturbance in an inland river
Very Doubtful Tsunami
Definite Tsunami
Questionable Tsunami
Probable Tsunami
Questionable Tsunami
Questionable Tsunami
Definite Tsunami
Definite Tsunami
Questionable Tsunami
Questionable Tsunami
Questionable Tsunami
Definite Tsunami
